,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2018106086,2022/04/04,川崎,雨,8,C2一　二三,,13,5,7,10.3,4.0,2,笹川翼,56,ダ1600,不,**,1:46.0,0.4,**,4-6-2-2,37.6-41.3,41.5,539(-2),,,ゲストプリンシパル,40.0
2018106086,2022/03/16,浦和,曇,8,C2六　七,,9,4,4,8.6,5.0,1,笹川翼,56,ダ1400,良,**,1:30.0,-0.3,**,2-2-2-1,37.5-39.4,39.2,541(-3),,,(プリトヴィツェ),100.0
2018106086,2022/02/23,浦和,晴,7,C2六　七八,,12,2,2,20.5,5.0,5,笹川翼,56,ダ1500,良,**,1:39.0,2.2,**,4-6-11-6,31.3-39.0,39.4,544(+14),,,デイスター,10.0
2018106086,2021/11/02,門別,雨,6,3歳以上C4ー2,,11,5,6,7.2,3.0,9,桑村真明,56,ダ1600,重,**,1:44.2,1.6,**,2-2-2-6,0.0-40.4,41.7,530(-10),,,パープルレイン,
2018106086,2021/10/19,門別,曇,6,3歳以上C4ー2,,7,2,2,11.8,4.0,5,落合玄太,56,ダ1700,不,**,1:50.9,0.7,**,2-2-2-2,0.0-40.3,39.8,540(+4),,,レイワミノル,2.1
2018106086,2021/10/06,門別,曇,3,3歳以上C4ー1,,9,7,8,,,取,落合玄太,56,ダ1200,不,**,,,**,,0.0-38.2,,計不,,,デンジャーマン,
2018106086,2021/09/21,門別,曇,5,日高グリーンアドベン,,11,8,11,22.5,5.0,4,落合玄太,56,ダ1200,重,**,1:15.3,0.8,**,3-4,0.0-38.8,39.4,536(+6),,,エムケードリーム,4.2
2018106086,2021/09/02,門別,晴,8,3歳以上C4ー3,,12,3,3,9.1,3.0,4,山本咲希,56,ダ1000,良,**,1:03.5,1.9,**,3-4,0.0-37.8,39.2,530(+16),,,シャイニングルキア,4.2
2018106086,2021/07/31,1函館9,曇,3,3歳未勝利,,12,8,12,66.0,11.0,12,小沢大仁,53,ダ1000,良,**,1:01.5,2.1,**,8-10,34.8-36.3,37.8,514(-4),,,サンランシング,
2018106086,2021/06/12,1札幌1,曇,3,3歳未勝利,,12,3,3,32.6,8.0,9,永島まな,52,ダ1000,良,**,1:01.2,1.1,**,11-10,35.0-36.6,35.9,518(+2),,,エレファンティネ,
2018106086,2021/04/24,2阪神9,曇,3,3歳未勝利,,14,6,11,80.4,8.0,9,岩田康誠,56,ダ1200,良,**,1:14.7,2.1,**,14-13,35.3-37.3,37.6,516(-6),,,スズカキンシャサ,
2018106086,2021/03/27,2中京5,晴,3,3歳未勝利,,16,5,9,52.9,10.0,6,岩田望来,56,ダ1200,良,**,1:14.2,1.9,**,5-6,35.5-36.8,38.2,522(-6),,,ゴイゴイスー,
2018106086,2021/02/07,1中京12,晴,1,3歳未勝利,,16,4,8,18.0,7.0,9,岩田望来,56,ダ1200,稍,**,1:14.9,2.5,**,6-4,35.4-37.0,39.2,528(-8),,,ベンチャーアウト,
